file, text_segment_size, instructions
file350, 1112, 700767771
file351, 3448, 628454127
file352, 331, 614121243
file353, 2370, 902509958
file354, 53, 598611519
file355, 2105, 624563737
file356, 3111, 809264767
file357, 11281, 1429909472
file358, 23438, 2874369648
file359, 948, 679148699
file360, 164, 589334788
file361, 2411, 901222386
file362, 15011, 1524890798
file363, 9393, 1606131616
file364, 363, 593672265
file365, 2162, 784486996
file366, 1203, 693902761
file367, 1427, 669438272
file368, 1450, 732549687
file369, 897703, 516175668468
file370, 371, 675797028
file371, 634, 641645261
file372, 1806, 786977655
file373, 5980, 1149229813
file374, 680, 626294138
file375, 21600, 2437071642
file376, 472, 684342484
file377, 505, 691809702
file378, 1754, 621733668
file379, 4665, 1083148169
file380, 21714, 3036751973
file381, 33931, 3388731911
file382, 4002, 873516342
file383, 12507, 2012843795
file384, 1961, 661808139
file385, 1341, 784146836
file386, 7397, 1140980685
file387, 560, 709635848
file388, 930, 671668133
file389, 441, 597352505
file390, 1840, 753103214
file391, 26003, 3531523582
file392, 1024, 658597637
file393, 3416, 666988028
file394, 731, 605897117
file395, 16641, 2877721017
file396, 280, 669755647
file397, 2569, 822371589
file398, 146, 616489069
file399, 1505, 624784952
file400, 13770, 2116335547
file401, 6068, 1226041620
file402, 844, 617848812
file403, 243, 661720385
file404, 275, 621185559
file405, 1371, 788112195
file406, 2628, 848920948
file407, 23541, 3600796135
file408, 247, 661242055
file409, 2978, 783989757
file410, 1955, 640348351
file411, 1547, 702066829
file412, 7180, 1524432361
file413, 231, 654657153
file414, 11383, 2110373755
file415, 19005, 1659068150
file416, 6488, 1443570944
file417, 1396, 791424546
file418, 18558, 1666511128
file419, 1342, 704603754
file420, 2058, 812509817
file421, 260, 619743885
file422, 5004, 1108038012
file423, 2487, 857873964
file424, 15478, 1282891287
file425, 155, 617686097
file426, 12641, 2150971590
file427, 1303, 614302264
file428, 7174, 1467183658
file429, 3272, 1263481257
file430, 423, 686357099
file431, 1684, 665104344
file432, 683, 630706048
file433, 760, 672013936
file434, 26676, 2842645540
file435, 1283, 676587906
file436, 33598, 4198491840
file437, 5481, 663146821
file438, 17636, 1590803646
file439, 2684, 852727616
file440, 4848, 996238117
file441, 346, 664695576
file442, 5799, 684346431
file443, 6519, 839537490
file444, 14804, 2194983933
file445, 689, 671327308
file446, 3348, 771468861
file447, 3151, 989507339
file448, 3837, 731262029
file449, 7358, 1496049575
file450, 174, 624009330
file451, 67, 598686318
file452, 1222, 627390143
file453, 3322, 1140193351
file454, 58, 607502265
file455, 3705, 831537425
file456, 190, 618791113
file457, 24700, 3645789358
file458, 1183, 652840360
file459, 1452, 701163923
file460, 3932, 1067377649
file461, 812, 574244388
file462, 13534, 749015665
file463, 1157, 804217924
file464, 3362, 845747338
file465, 9794, 1100288550
file466, 562, 659819167
file467, 3774, 652604122
file468, 1015, 666999620
file469, 2289, 634520149
file470, 4179, 896231449
file471, 8648, 711303269
