file, text_segment_size, instructions
file388, 930, 748563861
file389, 441, 668791261
file390, 1840, 834723392
file391, 26003, 3737307330
file392, 1024, 735392432
file393, 3416, 743133715
file394, 731, 677744248
file395, 16657, 3041980977
file396, 280, 748166456
file397, 2569, 905670071
file398, 146, 689813052
file399, 1505, 696338565
file400, 13770, 2230383198
file401, 6050, 1551050401
file402, 844, 931643164
file403, 243, 977367709
file404, 275, 932896903
file405, 1371, 1101635966
file406, 2628, 1171941367
file407, 23525, 3995353940
file408, 247, 969822599
file409, 2978, 1096386174
file410, 1955, 947785496
file411, 1547, 1013628469
file412, 7180, 1866182397
file413, 231, 964215204
file414, 11383, 2484131393
file415, 19005, 2001226913
file416, 6456, 1784602576
file417, 1368, 1102977314
file418, 18558, 2021992734
file419, 1342, 1017527456
file420, 2058, 1129270387
file421, 260, 926832362
file422, 5004, 1442572816
file423, 2568, 1173740600
file424, 15478, 1612204177
file425, 155, 926996503
file426, 12641, 2499230146
file427, 1303, 917114496
file428, 7174, 1807611163
file429, 3272, 1587907182
file430, 423, 997421240
file431, 1684, 976097840
file432, 683, 940292982
file433, 760, 981591262
file434, 26404, 3203953491
file435, 1311, 989144500
file436, 33630, 4654107572
file437, 5481, 976509055
file438, 17636, 1918020504
file439, 2684, 1171248366
file440, 4848, 1318734890
file441, 346, 978096472
file442, 5799, 989802540
file443, 6519, 1162161511
file444, 14804, 2534127131
file445, 689, 984058020
file446, 3348, 1084303687
file447, 3151, 1308252191
file448, 3837, 1047957112
file449, 8011, 1880531084
file450, 174, 932384969
file451, 67, 901646531
file452, 1222, 939597821
file453, 3322, 1468720577
file454, 58, 916362822
file455, 3705, 1139749708
file456, 190, 923047781
file457, 24700, 4027091723
file458, 1183, 959314211
file459, 1452, 1012901030
file460, 3932, 1385925869
file461, 812, 909909278
file462, 13534, 1061855617
file463, 1058, 1102510012
file464, 3362, 1155007637
file465, 9794, 1190135098
file466, 562, 737453919
file467, 3774, 725750588
file468, 1023, 745197153
file469, 2289, 709235713
file470, 4179, 981033645
file471, 8648, 788960255
file472, 8007, 1605167899
file473, 402, 746718805
file474, 322, 711205155
file475, 4399, 1131531572
file476, 4628, 1202355748
file477, 24867, 2124637722
file478, 136, 720387262
file479, 5333, 1158959716
file480, 1729, 742931864
file481, 7444, 1540129462
file482, 1717, 1049196581
file483, 528, 909118902
file484, 2907, 1226362414
file485, 5093, 1442976862
file486, 620, 1009375082
file487, 7827, 2284193450
file488, 2641, 1030431329
file489, 372, 914887197
file490, 1115, 978951017
file491, 3040, 1336963458
file492, 644, 935871585
file493, 727, 977965007
file494, 2748, 1294194293
file495, 5946, 1454542704
file496, 2043, 936311275
file497, 2483, 997279093
file498, 342, 990063293
file499, 330, 951156947
file500, 2027, 1149815665
file501, 3370, 1095514536
file502, 5330, 1314186211
file503, 6385, 1613371978
file504, 61969, 1274546100
