file, text_segment_size, instructions
file32139, 35119, 5973212772
file32140, 6790, 1055357207
file32141, 809, 799016732
file32142, 19763, 2751860473
file32143, 117538, 8677215165
file32144, 2080, 848693705
file32145, 309, 734707711
file32146, 14486, 2832983666
file32147, 10546, 1496506203
file32148, 20704, 3159344626
file32149, 1314, 786543070
file32150, 7389, 1348301348
file32151, 4090, 1183269997
file32152, 17503, 2388645633
file32153, 36544, 3327886550
file32154, 9819, 2330451424
file32155, 954, 956597405
file32156, 348922, 40449394384
file32157, 1368, 875826919
file32158, 673, 792349350
file32159, 4685, 1340903246
file32160, 5163, 1262219697
file32161, 7719, 1595690786
file32162, 1162, 818331168
file32163, 3325, 1129729803
file32164, 2092, 1020506838
file32165, 2060, 817486646
file32166, 3250, 1047660415
file32167, 5152, 1566540313
file32168, 6791, 1209083215
file32169, 17046, 3088162314
file32170, 27185, 5233630288
file32171, 28389, 3853007233
file32172, 13594, 2654978575
file32173, 63776, 6750294929
file32174, 1469, 909475811
file32175, 173, 694259478
file32176, 5942, 1756677829
file32177, 15151, 7021943023
file32178, 20916, 4043520734
file32179, 15795, 2556652274
file32180, 8568, 1532340341
file32181, 5424, 1468649508
file32182, 33816, 4394375906
file32183, 458, 838210477
file32184, 4524, 1643912354
file32185, 4589, 834798518
file32186, 28621, 3965595051
file32187, 17316, 2058346092
file32188, 25562, 4051231826
file32189, 2595, 1107561326
file32190, 8137, 1382970716
file32191, 15407, 2178070378
file32192, 30037, 5612268169
file32193, 41575, 3845736962
file32194, 5321, 1391939964
file32195, 10865, 1776791092
file32196, 8246, 1655680332
file32197, 6209, 1190158618
file32198, 942, 788618446
file32199, 4760, 1070930353
file32200, 96146, 9628692114
file32201, 5078, 1153692203
file32202, 6888, 1268342948
file32203, 8432, 2332130069
file32204, 6975, 1360328242
file32205, 57043, 6882694098
file32206, 24805, 2326062591
file32207, 2197, 956828392
file32208, 22182, 3252717287
file32209, 28535, 4754154473
file32210, 3025, 1085615326
file32211, 7906, 1634960673
file32212, 1200, 864739692
file32213, 76332, 8944777222
file32214, 18645, 1882078215
file32215, 1123, 870456465
file32216, 31968, 4345110107
file32217, 35321, 5374842699
file32218, 10249, 2610309905
file32219, 10299, 6236464376
file32220, 95509, 7938809468
file32221, 299692, 49457393156
file32222, 48859, 5594722397
file32223, 16557, 3108576993
file32224, 9601, 1548087214
file32225, 7140, 1641676431
file32226, 2584, 1056667696
file32227, 23087, 3559233587
file32228, 9063, 2086626444
file32229, 26013, 1836946684
file32230, 74211, 6856854681
file32231, 8743, 1363976483
file32232, 36465, 4264001677
file32233, 4215, 1183684819
file32234, 12385, 1845341663
file32235, 122454, 18990612057
file32236, 161, 716983339
file32237, 30891, 4582273620
file32238, 2712, 1016169947
file32239, 274752, 32000312021
file32240, 118118, 17517231528
file32241, 2417, 879768020
file32242, 59167, 9114961631
file32243, 2699, 917844470
file32244, 5666, 1541639763
file32245, 3073, 997536642
file32246, 2772, 930493218
file32247, 1800, 1146921222
file32248, 37418, 5720407149
file32249, 14061, 2572048404
file32250, 8047, 1531319790
file32251, 383535, 37276953904
file32252, 8666, 1369037223
file32253, 2288, 936536096
file32254, 21, 678012118
file32255, 4069, 1072170612
file32256, 87089, 10608555112
file32257, 13991, 3279545090
file32258, 3579, 1509489405
file32259, 19366, 3708755392
file32260, 5335, 1160103812
file32261, 7363, 1667373654
file32262, 2936, 1086839794
file32263, 31828, 3364458637
file32264, 55147, 6372107962
file32265, 4164, 1388297644
file32266, 31805, 4328525629
file32267, 5911, 1354096065
file32268, 1371, 884787757
file32269, 3139, 1010155616
file32270, 36173, 3354721492
file32271, 2673, 927181678
file32272, 149031, 13327974357
file32273, 252, 741415809
file32274, 5860, 1804385003
file32275, 206913, 17014663673
file32276, 7392, 1285584614
file32277, 6044, 1279711557
file32278, 62137, 6954162248
file32279, 24021, 3037396580
file32280, 15506, 2985906943
file32281, 1533, 897447697
file32282, 5215, 1423822977
file32283, 12784, 2317789492
file32284, 163781, 20427991129
file32285, 9618, 2217880140
file32286, 754, 752581491
file32287, 17390, 3419872586
file32288, 820, 880655173
file32289, 40497, 5045086454
file32290, 906, 838964543
file32291, 9834, 2100622297
file32292, 25795, 4026698327
file32293, 49180, 6185917350
file32294, 407649, 73519038861
file32295, 96848, 19565947542
file32296, 40473, 4335210213
file32297, 2366, 938196710
file32298, 39068, 7392659480
file32299, 3281, 1225063899
file32300, 9458, 1781891340
file32301, 57822, 7452851713
file32302, 16197, 1871534262
file32303, 8710, 1676779293
file32304, 28479, 8170380346
file32305, 1184, 804924570
file32306, 32515, 6990692366
file32307, 2319, 1167345516
file32308, 60500, 5762789870
file32309, 22507, 3189416999
file32310, 41831, 4999674958
file32311, 16889, 1124743482
file32312, 56254, 6486676587
file32313, 22598, 4957144632
file32314, 13761, 1907622929
file32315, 19671, 2768899378
file32316, 427, 710232123
file32317, 14868, 1869469883
file32318, 2537, 893609526
file32319, 2958, 1236055122
file32320, 1962, 885241792
file32321, 313, 746632080
file32322, 29095, 8198899397
file32323, 37522, 5219964114
file32324, 28394, 3030929850
file32325, 2366, 1011934734
file32326, 109875, 16796826626
file32327, 1738, 964167994
file32328, 884, 773378718
file32329, 10100, 1746424312
file32330, 23801, 3924517293
file32331, 170, 718362865
file32332, 250, 697761046
file32333, 6530, 1275676024
file32334, 42192, 4725826091
file32335, 2816, 1139464551
file32336, 21664, 2566063262
file32337, 4020, 1018248914
file32338, 482, 763145832
file32339, 40350, 7893473217
file32340, 173945, 19491599834
file32341, 11976, 2913147388
file32342, 52973, 8917381756
file32343, 11446, 2600216508
file32344, 2572, 1157966834
file32345, 7782, 1786930582
file32346, 2577, 883238244
file32347, 8632, 2029400112
file32348, 62198, 6523179558
file32349, 7706, 912009196
file32350, 1471, 706937813
file32351, 1297, 858645406
file32352, 2014, 919346517
file32353, 902, 910801736
file32354, 13605, 2102252104
file32355, 22401, 2864267005
file32356, 1783, 871309171
file32357, 8072, 1538379912
file32358, 34571, 4685539608
file32359, 6364, 1483278852
file32360, 144787, 16815687071
file32361, 14721, 2664508456
file32362, 1070, 822582785
file32363, 13686, 1750235906
file32364, 14941, 6967426758
file32365, 15879, 2737173725
file32366, 4656, 1069754458
file32367, 602, 817338628
file32368, 96992, 15430627337
file32369, 1880, 926393372
file32370, 32147, 2558826072
file32371, 6572, 1106402108
file32372, 4401, 1110490879
file32373, 2010, 853423068
file32374, 9946, 1564719801
file32375, 9247, 1539246610
file32376, 5076, 1247040731
file32377, 5583, 1418752113
file32378, 473, 829976334
file32379, 416955, 10392531305
file32380, 11609, 2774829788
file32381, 3501, 1182234668
file32382, 18377, 2955927743
file32383, 2221, 987046778
file32384, 122284, 28384116254
file32385, 552, 789893155
file32386, 6886, 2322509830
file32387, 7103, 1638252491
file32388, 2847, 895771610
file32389, 46069, 7046003165
file32390, 2343, 5236589334
file32391, 25052, 3461449705
file32392, 25613, 3392427794
file32393, 84663, 12390904796
file32394, 479311, 41691847999
file32395, 11697, 1275277208
file32396, 2874, 975866099
file32397, 3548, 1012568083
file32398, 52585, 8789087079
file32399, 4980, 1317103774
file32400, 28794, 2508490849
file32401, 9323, 1679964116
file32402, 17553, 2284487045
file32403, 2926, 966813731
file32404, 3502, 1074712608
file32405, 33813, 8761361929
file32406, 4785, 930921263
file32407, 170, 695761319
file32408, 5657, 1214092592
file32409, 45121, 10268264170
file32410, 8674, 1879578790
file32411, 103, 684422422
file32412, 36555, 3987317438
file32413, 10735, 2744448682
file32414, 57449, 8697509784
file32415, 21635, 3856773645
file32416, 6400, 1741173664
file32417, 224, 827181810
file32418, 17224, 2187868142
file32419, 23324, 3633655563
file32420, 5738, 1236060052
file32421, 12679, 1632199375
file32422, 1312, 805133310
file32423, 8522, 1575327680
file32424, 6930, 1724171794
file32425, 71712, 6700236300
file32426, 31289, 6224051952
file32427, 2346, 910424851
file32428, 2909, 1018839563
file32429, 5012, 1219686326
file32430, 785, 824986787
file32431, 2688, 919642549
file32432, 332189, 38239512595
file32433, 3271, 1243696794
file32434, 32127, 3546311825
file32435, 10138, 1935462172
file32436, 5685, 1625765909
