file, text_segment_size, instructions
file32026, 8981, 2288362908
file32027, 8238, 1552349101
file32028, 5018, 1132086748
file32029, 17066, 2136173180
file32030, 26722, 2119091800
file32031, 3178, 902992074
file32032, 2979, 961742121
file32033, 13329, 2095413546
file32034, 1842, 858749208
file32035, 65, 635837023
file32036, 3918, 932798989
file32037, 2347, 1105277739
file32038, 2113, 807187886
file32039, 6298, 1493692183
file32040, 27943, 3058450755
file32041, 672, 710039876
file32042, 9111, 1473503880
file32043, 537, 699650461
file32044, 177, 612862218
file32045, 16218, 2181994984
file32046, 4201, 1211050863
file32047, 23371, 2669195821
file32048, 771, 720659512
file32049, 229542, 28908272944
file32050, 14295, 1765705999
file32051, 7193, 939701539
file32052, 168, 667350682
file32053, 1267, 748194749
file32054, 12911, 1651855573
file32055, 27673, 4181752901
file32056, 11853, 1587822711
file32057, 5512, 1016305052
file32058, 46647, 6797691866
file32059, 4895, 1016945787
file32060, 2723, 885000912
file32061, 252, 645734883
file32062, 616189, 57270033728
file32063, 43615, 4717769394
file32064, 7759, 1726313092
file32065, 3628, 871206187
file32066, 2597, 1440989818
file32067, 29270, 3716406551
file32068, 12713, 1852398595
file32069, 33057, 2996546259
file32070, 23330, 5710210853
file32071, 4247, 1147878697
file32072, 72169, 8331834334
file32073, 3097, 1039184782
file32074, 8339, 1595213827
file32075, 14545, 1874663598
file32076, 19, 605635067
file32077, 7579, 1157414130
file32078, 21179, 2881026016
file32079, 28332, 2611833092
file32080, 78798, 8907903889
file32081, 53742, 3267281840
file32082, 40860, 4211310825
file32083, 1309, 773550832
file32084, 305023, 27442013115
file32085, 84, 611795788
file32086, 1063132, 76988320908
file32087, 10595, 1885635973
file32088, 233, 656960930
file32089, 7537, 1308985599
file32090, 871, 683012233
file32091, 303389, 48469331390
file32092, 12441, 1609129433
file32093, 2825, 928779721
file32094, 13844, 3419873651
file32095, 2204, 883277234
file32096, 46537, 3488508509
file32097, 15238, 2674752509
file32098, 372, 664298901
file32099, 10108, 1807267166
file32100, 7246, 1996440015
file32101, 17892, 2184784408
file32102, 7722, 1231699391
file32103, 1921, 961486595
file32104, 3465, 1170878868
file32105, 1280, 724878538
file32106, 26981, 2885820387
file32107, 33790, 7162345500
file32108, 1503, 753017883
file32109, 2132, 781606781
file32110, 1496, 854025655
file32111, 3888, 1170369606
file32112, 304038, 32887208802
file32113, 5149, 1202567650
file32114, 809, 744658843
file32115, 838082, 100849609220
file32116, 4079, 1039987558
file32117, 9855, 1215709554
file32118, 4951, 1036687554
file32119, 1518, 878257170
file32120, 391, 687788947
file32121, 48672, 7416205846
file32122, 1200, 804842566
file32123, 21192, 12608594059
file32124, 2662, 825276655
file32125, 4928, 1321389126
file32126, 27227, 2895800396
file32127, 24399, 4033105039
file32128, 154, 613536705
file32129, 5911, 1073737618
file32130, 5119, 1053202039
file32131, 8306, 1241495243
file32132, 10843, 1540584759
file32133, 2875662, 285919042628
file32134, 6807, 1955559282
file32135, 2650, 841351025
file32136, 6918, 789547671
file32137, 186666, 16594113536
file32138, 13761, 6368754290
file32139, 35115, 5751617230
file32140, 6790, 969155794
file32141, 809, 719281081
file32142, 19763, 2622715965
file32143, 117442, 8430884647
file32144, 2080, 768477288
file32145, 309, 657230344
file32146, 14486, 2666363603
file32147, 10546, 1405921948
file32148, 20704, 2991469480
file32149, 1314, 709105813
file32150, 7357, 1255480631
file32151, 4090, 1098538039
file32152, 17503, 2280165705
file32153, 36544, 3199747122
file32154, 9821, 2210799372
file32155, 954, 873011961
file32156, 348922, 38536829299
file32157, 1368, 794435923
file32158, 673, 715690492
file32159, 4685, 1248072720
file32160, 5163, 1170955680
file32161, 7719, 1499489120
file32162, 1162, 737813830
file32163, 3325, 1035281725
file32164, 2092, 937221053
file32165, 2060, 738665417
file32166, 3250, 961125310
file32167, 5152, 1450097017
file32168, 6791, 1120554348
file32169, 17062, 2955497200
file32170, 27185, 5040752634
file32171, 28357, 3709200142
file32172, 13594, 2523393835
file32173, 63744, 6523211551
file32174, 1469, 826286803
file32175, 173, 619181341
file32176, 5942, 1649975197
file32177, 15151, 6754322489
file32178, 20836, 3875618056
file32179, 15795, 2444023942
file32180, 8568, 1433464070
file32181, 5424, 1374102578
file32182, 33832, 4210268600
file32183, 458, 759886543
file32184, 4379, 1539564434
file32185, 4589, 755745400
file32186, 28621, 3810407759
file32187, 17300, 1951713913
file32188, 25562, 3900004454
file32189, 2595, 1021212958
file32190, 8137, 1287890484
file32191, 15407, 2077230313
file32192, 30037, 5420780283
file32193, 41575, 3704911540
file32194, 5305, 1296167630
file32195, 10865, 1673831816
file32196, 8262, 1550297133
file32197, 6209, 1100723820
file32198, 942, 709760711
file32199, 4760, 981931621
file32200, 96146, 9341348664
file32201, 5078, 1060993403
file32202, 6904, 1180061163
file32203, 8432, 2194248428
file32204, 6991, 1267605897
file32205, 56847, 6646759131
file32206, 24805, 2205437400
file32207, 2197, 874676405
file32208, 22182, 3114639662
file32209, 28535, 4577916051
file32210, 3025, 996613991
file32211, 7890, 1530153976
file32212, 1200, 783087792
file32213, 76371, 8712510138
file32214, 18645, 1773931264
file32215, 1123, 773192593
file32216, 31968, 4151821196
file32217, 35321, 5156544713
file32218, 10281, 2480751720
file32219, 10299, 5972582683
file32220, 95509, 7675675853
file32221, 298815, 48068991265
file32222, 48859, 5392974779
file32223, 16557, 2989147942
file32224, 9601, 1445993844
file32225, 7140, 1535275157
file32226, 2584, 966319979
file32227, 23397, 3435737111
file32228, 9063, 1964315538
file32229, 26013, 1757153328
file32230, 74195, 6646233004
file32231, 8743, 1266731153
file32232, 36465, 4128633870
file32233, 4215, 1083730063
file32234, 10883, 1739091306
file32235, 122378, 18494840528
file32236, 161, 634204026
file32237, 30923, 4406917734
file32238, 2712, 927776056
file32239, 274971, 31181154231
file32240, 118206, 17030769981
file32241, 2417, 793905934
file32242, 59162, 8824375779
file32243, 2699, 832307524
file32244, 5666, 1435254077
file32245, 3073, 916509931
file32246, 2772, 840064444
file32247, 1800, 1047185689
file32248, 37282, 5500579834
file32249, 14061, 2444265550
file32250, 8047, 1422317754
file32251, 383525, 36376846076
file32252, 8666, 1264927662
file32253, 2288, 842315899
file32254, 21, 599143213
file32255, 4069, 983527149
file32256, 87089, 10350205270
file32257, 13940, 3133561953
file32258, 3579, 1406152607
file32259, 19334, 3549459261
file32260, 5335, 1067272933
file32261, 7363, 1563288334
file32262, 2936, 992839495
file32263, 31812, 3214965088
file32264, 55147, 6134758553
file32265, 4164, 1287587710
file32266, 31805, 4148334382
file32267, 5911, 1254083655
file32268, 1371, 800892140
file32269, 3139, 915956384
file32270, 36133, 3210084175
file32271, 2673, 837788550
file32272, 148629, 12928281781
file32273, 252, 654424153
file32274, 5860, 1693463045
file32275, 206913, 16543946760
file32276, 7392, 1201874820
file32277, 6044, 1184461995
file32278, 62180, 6724165995
file32279, 24005, 2899878940
file32280, 15506, 2849693257
file32281, 1533, 814138733
file32282, 5215, 1328424598
file32283, 12784, 2204787467
file32284, 164309, 19928040414
file32285, 9618, 2097260715
file32286, 754, 673984984
file32287, 17390, 3265377821
file32288, 820, 798064691
file32289, 40410, 4864226774
file32290, 906, 759319753
file32291, 9834, 1988187503
file32292, 25795, 3872786329
file32293, 49180, 5980477162
file32294, 407521, 71875929657
file32295, 96848, 18982431852
file32296, 40473, 4165677296
file32297, 2366, 855708307
file32298, 39020, 7155859711
file32299, 3281, 1134699414
file32300, 9458, 1673708039
file32301, 57838, 7201724236
file32302, 16209, 1755408508
file32303, 8710, 1578843619
file32304, 28479, 7864662774
file32305, 1184, 724169776
file32306, 32531, 6753567384
file32307, 2287, 1078359551
file32308, 60468, 5563107476
file32309, 22507, 3056815861
file32310, 41879, 4825498788
file32311, 16889, 1038071780
file32312, 56254, 6300364886
file32313, 22566, 4781619288
file32314, 13761, 1797390490
file32315, 19685, 2648773140
file32316, 427, 634883605
file32317, 14852, 1760993348
file32318, 2537, 818068830
file32319, 2958, 1143180209
file32320, 1962, 801728818
file32321, 313, 668324036
file32322, 29095, 7913267655
file32323, 37522, 5003700887
file32324, 28394, 2894125496
file32325, 2366, 927385430
file32326, 109843, 16325668843
file32327, 1738, 878734476
file32328, 884, 695202363
file32329, 10100, 1652327792
file32330, 23785, 3768889861
file32331, 170, 642712690
file32332, 250, 624587535
file32333, 6530, 1190524245
file32334, 42192, 4544300327
file32335, 2816, 1049289763
file32336, 21664, 2445623979
file32337, 4020, 927640705
file32338, 482, 685795304
file32339, 40542, 7641035042
file32340, 175077, 18977932264
file32341, 11992, 2779449237
file32342, 52973, 8770736721
file32343, 11462, 2473613779
file32344, 2572, 1067279948
file32345, 7782, 1678745333
file32346, 2577, 801735360
file32347, 8632, 1916124277
file32348, 62198, 6305257200
file32349, 7706, 832890530
file32350, 1471, 631681807
file32351, 1281, 777410507
file32352, 2014, 836519879
file32353, 902, 824233331
file32354, 13605, 1995124634
file32355, 22401, 2726026231
file32356, 1783, 784119804
file32357, 8072, 1435148371
file32358, 34571, 4505199165
file32359, 6364, 1377569714
file32360, 144665, 16278705761
file32361, 14721, 2506458790
file32362, 1070, 737797201
file32363, 13686, 1633900517
file32364, 14941, 6692147902
file32365, 15896, 2609192350
file32366, 4656, 978236584
file32367, 602, 735559618
file32368, 97008, 14950869962
file32369, 1880, 840482020
file32370, 32147, 2442913530
file32371, 6572, 1011611221
file32372, 4401, 1018080412
file32373, 2010, 769381195
file32374, 9977, 1463493883
file32375, 9247, 1440543734
file32376, 5076, 1151887321
file32377, 5583, 1301653683
file32378, 473, 747688626
file32379, 416955, 10031166103
file32380, 11609, 2647334970
file32381, 3501, 1092013174
file32382, 18377, 2811421348
file32383, 2221, 894087250
file32384, 122300, 28032357159
file32385, 552, 709115491
file32386, 6838, 2201131580
file32387, 7103, 1522879300
file32388, 2847, 807155650
file32389, 46146, 6813340768
file32390, 2343, 4997174652
file32391, 25043, 3307379387
file32392, 25609, 3246098884
file32393, 84719, 12032727345
file32394, 479277, 40766865633
file32395, 11697, 1185966280
file32396, 2874, 890303794
file32397, 3548, 920905883
file32398, 52892, 8555231766
file32399, 4980, 1221096974
file32400, 28794, 2390992696
file32401, 9323, 1570585704
file32402, 17553, 2193204610
file32403, 2926, 875483426
file32404, 3477, 980826708
file32405, 33641, 8461739168
file32406, 4785, 845691801
file32407, 170, 616056929
file32408, 5657, 1117547230
file32409, 45121, 9906543996
file32410, 8674, 1770933949
file32411, 103, 608167371
file32412, 36555, 3819752841
file32413, 10670, 2601483868
file32414, 57465, 8394833334
file32415, 21635, 3696656273
file32416, 6400, 1617250526
file32417, 224, 743054748
file32418, 17192, 2082321089
file32419, 23324, 3490402030
file32420, 5738, 1138265679
file32421, 12679, 1529293755
file32422, 1312, 727363704
file32423, 8522, 1496971324
file32424, 6866, 1623226221
file32425, 71712, 6525392583
file32426, 31305, 6015198445
file32427, 2346, 834981830
file32428, 2909, 934594178
file32429, 5012, 1129973818
file32430, 785, 746075673
file32431, 2688, 838214148
file32432, 332189, 36487455665
file32433, 3271, 1153375740
file32434, 32127, 3396175833
file32435, 10138, 1829980271
file32436, 5685, 1514311956
file32437, 2215, 869413084
file32438, 8389, 1931790453
file32439, 2514, 931853118
file32440, 81506, 10266204128
file32441, 6080, 1236486997
file32442, 4002, 1291546552
file32443, 5715, 1618789752
file32444, 2122, 824213741
file32445, 4849, 1130575632
file32446, 7332, 1117256117
file32447, 659, 774908349
file32448, 8606, 1977631261
file32449, 91, 615786560
file32450, 4254, 1127438266
file32451, 7359, 1776129386
file32452, 2159, 738798707
file32453, 5667, 1341851615
file32454, 9076, 1324684819
