file, text_segment_size, instructions
file354113, 67726, 4494766075
file354114, 13372, 1731458827
file354115, 18591, 2044548180
file354116, 12820, 1723232456
file354117, 5216, 1199448974
file354118, 19814, 2131150125
file354119, 2494, 1045522342
file354120, 12174, 1416992565
file354121, 1834, 981515946
file354122, 4272, 1200128735
file354123, 26601, 2578561188
file354124, 470, 879634039
file354125, 591, 889897566
file354126, 18295, 2029681497
file354127, 3685, 1091879303
file354128, 20372, 2176848853
file354129, 2905, 1053367989
file354130, 27357, 2635625113
file354131, 172, 844246092
file354132, 13238, 1755031788
file354133, 26763, 2572027963
file354134, 5024, 1157355536
file354135, 1254, 959225280
file354136, 21594, 2255834157
file354137, 5313, 1211547578
file354138, 18606, 2067168236
file354139, 198103, 15581369032
file354140, 16979, 1853803641
file354141, 19264, 1942055873
file354142, 1883, 833785571
file354143, 4309, 1020148713
file354144, 42010, 3590459621
file354145, 16703, 1804963271
file354146, 1131, 783000087
file354147, 8140, 1261531776
file354148, 111002, 11965330531
file354149, 1204, 778102964
file354150, 436, 721079137
file354151, 6810, 1144925688
file354152, 47845, 3601188948
file354153, 21628, 2122403482
file354154, 18878, 1934732346
file354155, 2871, 905222370
file354156, 15740, 1802660594
file354157, 6044, 1025803826
file354158, 2245, 877097720
file354159, 12266, 1471961823
file354160, 16440, 1800771793
file354161, 15071, 1698518204
file354162, 6173, 1106785923
file354163, 8059, 1194687216
file354164, 4831, 1027025918
file354165, 44886, 3493630392
file354166, 1526, 821002524
file354167, 22577, 2155524361
file354168, 19171, 2110274458
file354169, 2740, 830126370
file354170, 16916, 1827953946
file354171, 10341, 1480785868
file354172, 20888, 1827770610
file354173, 1814, 872063201
file354174, 3173, 910218100
file354175, 8608, 1376689040
file354176, 662, 731955682
file354177, 31739, 2509905158
file354178, 900, 740616976
file354179, 10720, 1443931947
file354180, 1377, 796079457
file354181, 32739, 2832985137
file354182, 32672, 2783871231
file354183, 230, 707044996
file354184, 19559, 2069102348
file354185, 11140, 1448885851
file354186, 11144, 1450266036
file354187, 3255, 913405632
file354188, 6921, 1181870960
file354189, 1807, 832653919
file354190, 14287, 1625178685
file354191, 8949, 1277176552
file354192, 10446, 1463708943
file354193, 30974, 2668153043
file354194, 6972, 1117676599
file354195, 965, 803878580
file354196, 22980, 2159827078
file354197, 16895, 1820671320
file354198, 3473, 945231179
file354199, 4152, 972557264
file354200, 12972, 1653662041
file354201, 11693, 1608742933
file354202, 9865, 1574473804
file354203, 9072, 1514251233
file354204, 13732, 1789412458
file354205, 10048, 1613836499
file354206, 28064, 2745005873
file354207, 8758, 1388606979
file354208, 12191, 1624567723
file354209, 18916, 2209689245
file354210, 3497, 1048195480
