file490,1115,800943100
file491,3040,1163980829
file492,644,769239763
file493,727,814814728
file494,2748,1137057344
file495,5946,1296556962
file496,2043,766093649
file497,2483,828206814
file498,342,832611885
file499,330,783995583
file500,2027,982789976
file501,3370,929314161
file502,5330,1157778507
file503,6385,1451071164
file504,61969,1119026905
file505,1366,934777330
file506,1968,836438321
file507,8344,1483635188
file508,8725,1292319151
file509,743,828491559
file510,694,780865067
file511,777,915980611
file512,12684,1778071774
file513,1085,820103190
file514,5863,855439396
file515,503,831737657
file516,1976,768303123
file517,153,761995312
file518,4525,986134365
file519,7623,1565990646
file520,5186,1488466364
file521,5573,1475589993
file522,2859,1032531020
file523,3994,1232979597
file524,18568,2010865488
file525,627,780924844
file526,541,838733523
file527,6910,1191386355
file528,6817,851633448
file529,5584,1456155958
file530,742,889543994
file531,829,754060457
file532,1089,752199229
file533,27285,4209967372
file534,2216,922862105
file535,815,816143760
file536,1234,846188925
file537,2147,1143304189
file538,1647,810376715
file539,6198,1169814413
file540,414,827264855
file541,4309,813767861
file542,765,780329733
file543,6912,848531912
file544,19251,3586726830
file545,1728,742947923
file546,4234,997178665
file547,54571,8109540038
file548,4965,747616569
file549,1268,883958927
file550,6377,1101774084
file551,6094,976129335
file552,4759,958445931
file553,2246,756228063
file554,1077,716432363
file555,5610,818305588
file556,981,816563353
file557,2969,837814804
file558,1136,724463786
file559,2775,1031528836
file560,2702,704824045
file561,21548,1452517020
file562,164,815841793
file563,4923,925213712
file564,2761,961071785
file565,1097,801643655
file566,4580,1143131591
file567,3264,1214359972
file568,953,938638889
file569,6203,1487110913
file570,585,869720589
file571,1153,873551052
file572,3987,840857241
file573,20113,2474288804
file574,2780,987235606
file575,1107,941925923
file576,4062,1187137068
file577,6903,1266179358
file578,1280,893103729
file579,96816,5646512177
file580,35796,2363181664
file581,1648,798164461
file582,22025,3668166131
file583,1980,941536304
file584,6683,864442039
file585,3803,1142426056
file586,1960,1110670973
file587,504,881221100
file588,1330,880212193
file589,524,857149212
file590,3963,946879744
file591,18888,2666578781
file592,5082,828757039
file593,806,766978936
file594,54244,5997383207
file595,1099,756342591
file596,2773,792990172
file597,520,792704313
file598,3024,846010055
file599,6824,944929588
file600,2100,996626561
file601,6071,1500030351
file602,11267,1352212246
file603,12985,2224493261
